phi1 phi2 depth orientation nfa octave
0.479452 -1.78694 1203 -1 44.8557 0
4.85445 0.0880626 1385 1 50.782 0
0.635702 0.0490001 1181 1 50.9618 0
1.76851 -0.0681874 1204 -1 38.7907 0
0.479452 0.0880626 1221 1 49.3091 0
4.42476 0.83025 1177 1 48.7698 0
0.674765 -3.81819 1207 -1 46.7097 0
0.479452 0.0880626 1303 1 50.2023 0
0.264188 -0.224972 1513 1 10.9107 0
0.264188 -0.146847 1542 1 22.9661 0
0.264188 -0.18591 1504 -1 26.7168 0
0.264188 -0.146847 1734 -1 23.9991 0
0.147 -0.18591 1592 1 25.8275 0
0.654813 0.048465 1435 -1 2.76618 0
0.342313 0.321903 1435 -1 28.6239 0
0.264188 -0.107785 1433 -1 38.508 0
0.147 -0.107785 1532 -1 29.1108 0
0.420438 -0.381222 1672 1 31.075 0
0.420438 0.28284 1462 1 16.9926 0
-0.126437 -0.146847 1459 1 39.5232 0
1.04544 -0.107785 1457 1 45.2819 0
0.4595 -0.107785 1669 1 46.4615 0
3.38919 0.165653 1447 1 41.6034 0
2.37356 -0.18591 1460 1 47.3413 0
0.147 0.400028 1455 1 45.5812 0
1.24075 3.72034 1454 1 49.9289 0
0.576688 -0.18591 1488 -1 37.4144 0
0.225125 -0.146847 1492 -1 45.2436 0
0.186063 -0.18591 1483 -1 48.6532 0
2.25638 -0.18591 1470 1 49.5678 0
-0.595187 -3.15466 1453 1 43.1454 0
0.576688 0.556278 1467 1 48.6792 0
4.28763 -0.459347 1450 1 47.9446 0
-1.61081 -0.146847 1450 1 49.5123 0
0.225125 0.321903 1551 -1 39.8236 0
-0.204562 -4.09216 1452 1 49.4511 0
0.0688754 -4.13122 1472 1 48.9266 0
-0.126437 -2.45153 1449 1 51.5091 0
4.13138 0.829715 1471 1 46.056 0
0.264188 -0.107785 1272 1 49.8637 0
0.381375 -1.35778 1571 1 40.8884 0
4.24856 -0.34216 1471 1 49.9259 0
0.264188 -4.13122 1576 1 44.1038 0
0.693875 -4.3656 1567 1 42.9723 0
-0.126437 -0.459347 1318 1 42.6391 0
