wellName,datasetName,TDEP,AvgCali,Azimuth,CenteredDepth,Colour,DipPiking_JK_TRU,HAzi,HDev,InfoArray,Quality,RES_BD_IMG_Azimuth,RES_BD_IMG_DipHeight,RES_BD_IMG_DipPiking_JK_APP,Shape,Type
,,ft,in,dega,ft,,dega,deg,deg,,,dega,ft,dega,,
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.5780934105,8.5,8.271935,13383.5780934105,#0000ff,45.36022,131.8204,88.68209,-9999,0.6176471,319.463,1.5790772436489,65.84023,0,NONE
48/19a-C2,DipJK,13383.9362913044,8.5,13.48851,13383.9362913044,#0000ff,49.50467,131.8164,88.68169,-9999,1,313.7549,1.74727675987054,67.93272,0,NONE
48/19a-C2,DipJK,13383.9362913044,8.5,13.48851,13383.9362913044,#0000ff,49.50467,131.8164,88.68169,-9999,1,313.7549,1.74727675987054,67.93272,0,NONE
48/19a-C2,DipJK,13383.9362913044,8.5,13.48851,13383.9362913044,#0000ff,49.50467,131.8164,88.68169,-9999,1,313.7549,1.74727675987054,67.93272,0,NONE
48/19a-C2,DipJK,13383.9362913044,8.5,13.48851,13383.9362913044,#0000ff,49.50467,131.8164,88.68169,-9999,1,313.7549,1.74727675987054,67.93272,0,NONE
48/19a-C2,DipJK,13383.9362913044,8.5,13.48851,13383.9362913044,#0000ff,49.50467,131.8164,88.68169,-9999,1,313.7549,1.74727675987054,67.93272,0,NONE
48/19a-C2,DipJK,13383.9362913044,8.5,13.48851,13383.9362913044,#0000ff,49.50467,131.8164,88.68169,-9999,1,313.7549,1.74727675987054,67.93272,0,NONE
