phi1 phi2 depth orientation nfa octave
1.31115 -1.38943 566 -1 34.9715 1
1.62365 -1.23318 784 -1 32.1673 1
1.38928 -1.31131 486 1 33.7871 1
1.70178 -1.38943 510 -1 25.1424 1
1.23303 -1.15506 410 1 34.7018 1
1.38928 -1.62381 292 -1 39.0361 1
1.07678 -1.07693 810 1 27.7487 1
1.54553 -1.31131 742 -1 40.5298 1
1.54553 -1.31131 764 -1 35.9528 1
1.31115 -1.23318 220 1 42.9962 1
1.54553 -1.38943 680 1 39.6662 1
1.62365 -1.46756 428 -1 22.0236 1
1.7799 -1.54568 866 1 25.9736 1
1.7799 -1.46756 730 1 37.7318 1
1.62365 -1.38943 934 -1 27.1408 1
-2.36072 6.26682 868 1 46.7539 1
1.4674 -1.46756 696 -1 44.4049 1
1.38928 -1.38943 176 -1 48.5399 1
2.0924 -1.93631 192 -1 35.0397 1
-1.0326 -1.23318 866 1 49.1358 1
1.31115 -1.38943 844 -1 50.834 1
1.70178 -1.38943 908 1 52.86 1
1.31115 -1.46756 894 1 46.5326 1
1.23303 -1.78006 862 -1 43.8417 1
1.31115 2.36057 870 1 51.4323 1
0.410959 0.0587084 1432 -1 7.84116 1
0.410959 0.0587084 1448 1 19.8275 1
0.489084 0.136833 1462 1 16.7076 1
0.567209 0.0587084 1046 1 46.3052 1
0.332834 0.0587084 1270 1 47.1064 1
0.567209 0.371208 1342 1 38.472 1
0.332834 -0.0975416 992 1 47.7742 1
0.723459 -0.0194166 1246 1 40.9808 1
-0.135916 -3.06629 1160 1 35.8679 1
0.410959 0.0587084 694 1 50.1945 1
0.489084 0.371208 930 1 41.1068 1
0.254709 0.0587084 598 -1 48.5985 1
0.410959 0.293083 1160 1 48.3351 1
1.42658 -1.73817 1110 1 25.0757 1
0.410959 -0.331917 1106 1 45.177 1
0.332834 -0.253792 826 1 46.1377 1
-0.682791 0.136833 1364 1 48.8043 1
0.410959 0.136833 610 1 50.0068 1
1.19221 0.0587084 630 -1 42.881 1
0.645334 -0.253792 574 1 42.8238 1
0.489084 0.214958 788 1 49.3033 1
0.410959 0.449333 1308 -1 40.8345 1
2.36408 -0.800667 632 -1 42.4122 1
0.645334 -0.644417 892 1 42.9723 1
0.254709 -0.0194166 874 1 51.402 1
0.410959 0.0587084 1188 -1 51.574 1
0.879709 0.214958 1006 -1 46.376 1
0.254709 -0.175667 1362 1 44.2075 1
0.489084 -1.11317 1204 -1 40.1352 1
0.410959 0.371208 522 1 48.5309 1
0.410959 0.0587084 1386 1 50.2349 1
0.410959 0.449333 916 1 47.2109 1
1.81721 0.214958 540 -1 37.8776 1
1.03596 -0.0194166 804 -1 43.9136 1
0.410959 -0.800667 810 -1 46.025 1
0.410959 0.0587084 802 -1 51.8661 1
0.332834 -0.0194166 1076 -1 42.9688 1
1.19221 3.73058 988 -1 48.3068 1
0.332834 -0.253792 1294 1 45.7613 1
-1.15154 -0.175667 1146 1 48.902 1
-0.0577911 0.0587084 726 -1 46.897 1
-3.65154 0.214958 644 1 50.8438 1
-1.54217 -0.0194166 728 -1 51.098 1
0.410959 -0.488167 528 1 50.3149 1
0.332834 -0.175667 898 1 51.5696 1
0.879709 0.605583 646 1 44.5004 1
1.58283 0.0587084 1408 -1 46.8953 1
0.254556 -0.25425 1512 1 6.40925 1
0.254556 -0.176125 1542 1 21.3432 1
0.254556 -0.176125 1734 -1 22.942 1
0.332681 0.136375 1430 -1 4.33357 1
0.254556 -0.176125 1456 1 34.503 1
0.176431 -0.176125 1592 1 26.5984 1
0.410806 -0.4105 1672 1 34.6045 1
0.410806 -0.176125 1486 -1 39.6544 1
0.254556 -0.176125 1894 1 43.7237 1
0.567056 -0.25425 1106 1 38.2814 1
0.332681 -0.176125 1270 1 47.3777 1
0.879556 1.54262 1362 1 37.8712 1
0.488931 -0.176125 1050 1 46.0033 1
-0.214194 -0.0980002 1772 1 43.4404 1
0.723306 -0.176125 1248 1 41.404 1
-0.682944 -0.0198752 1364 1 44.0054 1
0.410806 1.38637 1772 1 49.3767 1
0.254556 -0.176125 1932 -1 48.8042 1
0.254556 -0.0198752 1912 -1 44.1238 1
0.332681 0.136375 1968 1 31.4767 1
4.23893 0.2145 1922 1 51.1155 1
0.332681 -0.176125 1318 1 52.0273 1
1.03581 -0.957375 1712 -1 36.6151 1
0.488931 0.0582498 1346 1 46.4441 1
0.332681 -0.176125 1364 1 50.4813 1
0.410806 -0.176125 1952 -1 49.9611 1
0.254556 -0.56675 1122 1 45.1663 1
0.645181 -0.957375 1074 -1 32.2391 1
0.332681 0.136375 1562 1 40.8952 1
0.332681 -0.0980002 1292 1 51.8801 1
0.410806 2.402 1140 1 47.8841 1
1.50456 0.292625 1812 -1 37.5378 1
0.332681 -1.6605 1204 -1 39.7054 1
0.723306 -8.06675 1920 1 48.4516 1
1.27018 -0.644875 1820 1 42.6701 1
0.488931 -0.0198752 1868 -1 47.5404 1
-0.448569 -1.73863 1812 -1 40.1629 1
2.05143 -1.89488 1796 1 47.0541 1
0.332681 -0.0980002 1806 -1 50.4189 1
0.332681 -0.332375 1070 -1 49.2231 1
0.332681 -0.0980002 1782 -1 50.2212 1
0.332681 2.48012 1664 -1 45.7046 1
0.488931 -0.176125 1382 1 50.4594 1
0.99789 -1.03733 2030 -1 5.98471 1
1.07602 -1.11546 2044 1 7.76055 1
1.07602 -1.11546 2056 -1 18.0857 1
0.919765 -1.11546 1816 1 22.6805 1
1.15414 -0.95921 2120 1 11.3948 1
1.15414 -1.19358 1788 -1 18.0529 1
1.23227 -1.19358 1840 -1 16.4466 1
0.99789 -1.11546 1960 1 21.4502 1
0.919765 -1.03733 2136 -1 22.6725 1
1.15414 -1.19358 2086 1 12.2586 1
0.919765 -1.03733 2004 1 28.3415 1
0.919765 -1.19358 1884 -1 28.7508 1
0.919765 -1.11546 1802 1 29.8712 1
1.07602 -1.03733 1714 -1 29.9222 1
0.919765 -1.03733 2182 1 33.9273 1
1.15414 -1.19358 1690 1 23.6271 1
0.919765 -1.11546 1652 1 35.8322 1
0.763515 -0.95921 2164 -1 28.7118 1
